Model,Task_Prefix,Dataset_Name,Model_Responses,Gold_Labels,Min_K_Responses,cos_sim_scores,rouge_sim_scores,levenshtein_distance,GradientBoosting_prediction,GradientBoosting_probability,GradientBoosting_label,LogisticRegression_prediction,LogisticRegression_probability,LogisticRegression_label,RandomForest_prediction,RandomForest_probability,RandomForest_label
microsoft/phi-4,Summarize the following text: ,XSum,"assistantOn January 7, 2016, Lancashire experienced significant flooding, making it",December was the UK's wettest month in more than a hundred years.,"{'Min_10.0% Prob': 8.3203125, 'Min_20.0% Prob': 8.025390625, 'Min_30.0% Prob': 5.462890625, 'Min_40.0% Prob': 4.874609375, 'Min_50.0% Prob': 4.064732142857143}",0.4093652665615082,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",71,0,0.412783876995772,Not Contaminated,0,0.431447820281569,Not Contaminated,1,0.5153774840355724,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,assistantLiberal Democrat AM Eluned Parrott criticized the Welsh government for spending over £52,"An advertising campaign promoting the South Wales Metro has been criticised as ""useless"" and a ""cynical way of spending public money"".","{'Min_10.0% Prob': 8.73828125, 'Min_20.0% Prob': 7.3609375, 'Min_30.0% Prob': 6.41796875, 'Min_40.0% Prob': 5.702734375, 'Min_50.0% Prob': 4.935997596153846}",0.3603611886501312,"{'rouge1': Score(precision=0.09523809523809523, recall=0.15384615384615385, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.09523809523809523, recall=0.15384615384615385, fmeasure=0.11764705882352941)}",91,1,0.6689698039607822,Likely Contaminated,1,0.5915699091158394,Likely Contaminated,1,0.79726226119876,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,assistantThe text discusses cancer diagnosis trends in Wales between 2006 and 2015.,The number of cancer cases in Wales has risen by almost 10% over a 10-year period.,"{'Min_10.0% Prob': 8.94921875, 'Min_20.0% Prob': 6.49365234375, 'Min_30.0% Prob': 5.1142578125, 'Min_40.0% Prob': 4.365478515625, 'Min_50.0% Prob': 3.8703125}",0.712195098400116,"{'rouge1': Score(precision=0.17647058823529413, recall=0.25, fmeasure=0.20689655172413793), 'rouge2': Score(precision=0.0625, recall=0.09090909090909091, fmeasure=0.07407407407407407), 'rougeL': Score(precision=0.17647058823529413, recall=0.25, fmeasure=0.20689655172413793)}",67,0,0.1051126155797625,Not Contaminated,0,0.4682271211086739,Not Contaminated,0,0.2646418491639079,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantAnna Swabey, a 25-year-old from Newton Aycliffe, County",A woman who blogged about her battle with terminal brain cancer has died a day before she was due to get married.,"{'Min_10.0% Prob': 10.630859375, 'Min_20.0% Prob': 8.0947265625, 'Min_30.0% Prob': 6.860026041666667, 'Min_40.0% Prob': 5.511067708333333, 'Min_50.0% Prob': 4.8923117897727275}",0.1129659116268158,"{'rouge1': Score(precision=0.045454545454545456, recall=0.1, fmeasure=0.06250000000000001), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.045454545454545456, recall=0.1, fmeasure=0.06250000000000001)}",94,0,0.338004216236248,Not Contaminated,1,0.5180590680022298,Likely Contaminated,0,0.333437317176288,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantLiam Laverick, 25, from Hull, has pleaded not guilty to","A father killed his son by shaking or throwing him when he was just four weeks old, a jury has been told.","{'Min_10.0% Prob': 10.44140625, 'Min_20.0% Prob': 8.32421875, 'Min_30.0% Prob': 7.029622395833333, 'Min_40.0% Prob': 5.801866319444445, 'Min_50.0% Prob': 5.1640625}",0.1812966167926788,"{'rouge1': Score(precision=0.045454545454545456, recall=0.1, fmeasure=0.06250000000000001), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.045454545454545456, recall=0.1, fmeasure=0.06250000000000001)}",85,1,0.5110004574162321,Likely Contaminated,1,0.5418285607471233,Likely Contaminated,0,0.4310183905147141,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantThe text discusses the conclusion of the Labour Party leadership election in the UK, focusing on","Labour leadership contender Andy Burnham has told supporters he has an ""outside but realistic chance"" of winning the contest.","{'Min_10.0% Prob': 8.7578125, 'Min_20.0% Prob': 8.06640625, 'Min_30.0% Prob': 6.935546875, 'Min_40.0% Prob': 6.088623046875, 'Min_50.0% Prob': 5.066495028409091}",0.30046346783638,"{'rouge1': Score(precision=0.21052631578947367, recall=0.25, fmeasure=0.22857142857142856), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15789473684210525, recall=0.1875, fmeasure=0.17142857142857143)}",95,1,0.8882926932174531,Likely Contaminated,1,0.692951653464449,Likely Contaminated,1,0.9148667727944219,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantThe text discusses allegations against a football player, Diouf, who is accused of",Doncaster Rovers boss Dean Saunders says the club are continuing to investigate claims that forward El-Hadji Diouf breached club discipline.,"{'Min_10.0% Prob': 8.875, 'Min_20.0% Prob': 7.5296875, 'Min_30.0% Prob': 6.469482421875, 'Min_40.0% Prob': 5.914453125, 'Min_50.0% Prob': 5.294771634615385}",0.4758290946483612,"{'rouge1': Score(precision=0.047619047619047616, recall=0.07692307692307693, fmeasure=0.058823529411764705), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.047619047619047616, recall=0.07692307692307693, fmeasure=0.058823529411764705)}",102,1,0.6136368933199917,Likely Contaminated,1,0.572041857050917,Likely Contaminated,1,0.7046016045143368,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantYanagihara's novel, about four college friends in New York, is","The winner of the Man Booker Prize is announced shortly with Hanya Yanagihara's A Little Life the bookies' favourite to take the £50,000 prize.","{'Min_10.0% Prob': 9.307291666666666, 'Min_20.0% Prob': 7.429036458333333, 'Min_30.0% Prob': 5.28642578125, 'Min_40.0% Prob': 4.407977764423077, 'Min_50.0% Prob': 3.5655445772058822}",0.1813903003931045,"{'rouge1': Score(precision=0.07692307692307693, recall=0.18181818181818182, fmeasure=0.10810810810810811), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.038461538461538464, recall=0.09090909090909091, fmeasure=0.05405405405405406)}",110,0,0.2998323920547722,Not Contaminated,0,0.46016133576390006,Not Contaminated,0,0.40768669035213173,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantNatalie Towers, 24, from Shildon, County Durham, admitted",A woman who used poison to terminate her pregnancy has been jailed for two and a half years.,"{'Min_10.0% Prob': 11.09375, 'Min_20.0% Prob': 8.401041666666666, 'Min_30.0% Prob': 7.05390625, 'Min_40.0% Prob': 5.827008928571429, 'Min_50.0% Prob': 5.1015625}",0.077511578798294,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",73,0,0.36343286501378164,Not Contaminated,0,0.48137418415187433,Not Contaminated,0,0.3365996809562988,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantKjell Lindgren, an astronaut on the International Space Station, played ""Amazing",A US astronaut has played a set of Scottish-made bagpipes on the International Space Station to pay tribute to a colleague who died.,"{'Min_10.0% Prob': 9.6640625, 'Min_20.0% Prob': 8.07421875, 'Min_30.0% Prob': 7.55859375, 'Min_40.0% Prob': 6.4041015625, 'Min_50.0% Prob': 5.671549479166667}",0.4403533041477203,"{'rouge1': Score(precision=0.2916666666666667, recall=0.6363636363636364, fmeasure=0.4), 'rouge2': Score(precision=0.17391304347826086, recall=0.4, fmeasure=0.24242424242424243), 'rougeL': Score(precision=0.25, recall=0.5454545454545454, fmeasure=0.34285714285714286)}",81,1,0.6147870775291562,Likely Contaminated,0,0.3765514382422373,Not Contaminated,0,0.4369804639804641,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantTunisia's former president, Moncef Marzouki, is involved in","The Israeli Navy has intercepted a Gaza-bound vessel sailed by pro-Palestinian activists and diverted it to an Israeli port, the military says.","{'Min_10.0% Prob': 10.3359375, 'Min_20.0% Prob': 6.78046875, 'Min_30.0% Prob': 5.318359375, 'Min_40.0% Prob': 4.7048828125, 'Min_50.0% Prob': 4.085561899038462}",-0.0136555032804608,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",116,0,0.07187464372965835,Not Contaminated,0,0.3982645453651866,Not Contaminated,0,0.05893280167544874,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,assistantSouth African cricketer Berg sustained an injury during a match against Nottinghamshire in Barb,Hampshire coach Dale Benkenstein says all-rounder Gareth Berg could be miss up to half of the upcoming season should he require knee surgery.,"{'Min_10.0% Prob': 9.713541666666666, 'Min_20.0% Prob': 8.993489583333334, 'Min_30.0% Prob': 8.354600694444445, 'Min_40.0% Prob': 7.404296875, 'Min_50.0% Prob': 6.484505208333333}",0.4623813331127167,"{'rouge1': Score(precision=0.041666666666666664, recall=0.07142857142857142, fmeasure=0.052631578947368425), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.041666666666666664, recall=0.07142857142857142, fmeasure=0.052631578947368425)}",108,1,0.7730461489092543,Likely Contaminated,1,0.6605148648901074,Likely Contaminated,1,0.7037025510581912,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,assistantA harmless corn snake was discovered inside a vehicle at a yard on March 8 and,A corn snake has been discovered in a Neath van destined for the scrapheap.,"{'Min_10.0% Prob': 12.2265625, 'Min_20.0% Prob': 11.609375, 'Min_30.0% Prob': 11.001953125, 'Min_40.0% Prob': 9.366536458333334, 'Min_50.0% Prob': 8.134765625}",0.6885889172554016,"{'rouge1': Score(precision=0.35714285714285715, recall=0.3125, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.07692307692307693, recall=0.06666666666666667, fmeasure=0.07142857142857144), 'rougeL': Score(precision=0.2857142857142857, recall=0.25, fmeasure=0.26666666666666666)}",57,1,0.7003920921667789,Likely Contaminated,1,0.8549487530922338,Likely Contaminated,1,0.5481290515040514,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantBen Ainslie, after winning his fourth consecutive Olympic gold medal at London 201",Olympic hero Ben Ainslie has outlined his plans to win the America's Cup.,"{'Min_10.0% Prob': 8.3671875, 'Min_20.0% Prob': 7.122395833333333, 'Min_30.0% Prob': 5.967578125, 'Min_40.0% Prob': 5.041852678571429, 'Min_50.0% Prob': 4.356662326388889}",0.518455445766449,"{'rouge1': Score(precision=0.2857142857142857, recall=0.3076923076923077, fmeasure=0.29629629629629634), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.15384615384615385, fmeasure=0.14814814814814817)}",66,0,0.4594606931073216,Not Contaminated,1,0.6919607615915757,Likely Contaminated,1,0.5069825995542591,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantIn August 2011, Steven Conway died while working at Diamond Wheels (Dund",A Dundee company has admitted health and safety failings after a worker died while cleaning out a chemical tank.,"{'Min_10.0% Prob': 11.02734375, 'Min_20.0% Prob': 8.2412109375, 'Min_30.0% Prob': 6.824869791666667, 'Min_40.0% Prob': 5.799560546875, 'Min_50.0% Prob': 5.06064453125}",0.1700240671634674,"{'rouge1': Score(precision=0.10526315789473684, recall=0.16666666666666666, fmeasure=0.12903225806451615), 'rouge2': Score(precision=0.05555555555555555, recall=0.09090909090909091, fmeasure=0.06896551724137931), 'rougeL': Score(precision=0.10526315789473684, recall=0.16666666666666666, fmeasure=0.12903225806451615)}",81,0,0.44544522219274224,Not Contaminated,0,0.46126938362673225,Not Contaminated,1,0.5769995393967915,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantThe text outlines key milestones in the lives of Fidel Castro and Queen Elizabeth II,","Two famous leaders have celebrated their 90th birthday this year: Queen Elizabeth and Fidel Castro, the former Cuban president.","{'Min_10.0% Prob': 8.009765625, 'Min_20.0% Prob': 6.89453125, 'Min_30.0% Prob': 5.340959821428571, 'Min_40.0% Prob': 4.810112847222222, 'Min_50.0% Prob': 4.262369791666667}",0.6147958040237427,"{'rouge1': Score(precision=0.3157894736842105, recall=0.4, fmeasure=0.35294117647058826), 'rouge2': Score(precision=0.1111111111111111, recall=0.14285714285714285, fmeasure=0.125), 'rougeL': Score(precision=0.10526315789473684, recall=0.13333333333333333, fmeasure=0.11764705882352941)}",88,1,0.818699545118635,Likely Contaminated,0,0.48538310173672666,Not Contaminated,1,0.5944611001528571,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantThe text describes the collaboration between Martha Cooper and Henry Chalfant, who initially worked","In the late 1970s and early '80s, photographers Martha Cooper and Henry Chalfant were both documenting the work of graffiti artists on the subway system of New York.","{'Min_10.0% Prob': 8.203125, 'Min_20.0% Prob': 6.044921875, 'Min_30.0% Prob': 4.8685546875, 'Min_40.0% Prob': 3.994349888392857, 'Min_50.0% Prob': 3.3851453993055554}",0.4946017861366272,"{'rouge1': Score(precision=0.25, recall=0.5, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.14814814814814814, recall=0.3076923076923077, fmeasure=0.2), 'rougeL': Score(precision=0.25, recall=0.5, fmeasure=0.3333333333333333)}",115,0,0.21455831439703027,Not Contaminated,0,0.2788118368327272,Not Contaminated,0,0.3662732765600411,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantKerry Reeves, 26, died two days after being shot in Abingdon",Two men have appeared in court charged with the murder of a woman who was shot in the head in Oxfordshire.,"{'Min_10.0% Prob': 7.09375, 'Min_20.0% Prob': 5.8828125, 'Min_30.0% Prob': 4.969075520833333, 'Min_40.0% Prob': 4.2010498046875, 'Min_50.0% Prob': 3.529563210227273}",0.3904728591442108,"{'rouge1': Score(precision=0.14285714285714285, recall=0.2727272727272727, fmeasure=0.18749999999999997), 'rouge2': Score(precision=0.05, recall=0.1, fmeasure=0.06666666666666667), 'rougeL': Score(precision=0.14285714285714285, recall=0.2727272727272727, fmeasure=0.18749999999999997)}",80,0,0.19425871037502343,Not Contaminated,0,0.41516387671887506,Not Contaminated,1,0.5123353208882621,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantThe accountancy group UHY Hacker Young reported that new ""boutique"" distill","An ""explosive creativity"" of craft spirits has seen 50 new distilleries open across the UK last year, according to a study.","{'Min_10.0% Prob': 10.04296875, 'Min_20.0% Prob': 8.6078125, 'Min_30.0% Prob': 7.01416015625, 'Min_40.0% Prob': 6.129261363636363, 'Min_50.0% Prob': 5.386997767857143}",0.2980634868144989,"{'rouge1': Score(precision=0.047619047619047616, recall=0.09090909090909091, fmeasure=0.0625), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.047619047619047616, recall=0.09090909090909091, fmeasure=0.0625)}",94,0,0.428770343300593,Not Contaminated,1,0.5695340032741476,Likely Contaminated,1,0.5090228256939964,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantGuernsey, an eight-tier English football team, is set to play Thamesme",An FA Cup game will take place on the Channel Islands for the first time after Guernsey FC were drawn at home in next month's preliminary round.,"{'Min_10.0% Prob': 8.872395833333334, 'Min_20.0% Prob': 6.82421875, 'Min_30.0% Prob': 5.783854166666667, 'Min_40.0% Prob': 4.953287760416667, 'Min_50.0% Prob': 4.3359375}",0.2459456026554107,"{'rouge1': Score(precision=0.03571428571428571, recall=0.08333333333333333, fmeasure=0.05), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.03571428571428571, recall=0.08333333333333333, fmeasure=0.05)}",108,0,0.49480385936940324,Not Contaminated,0,0.4781598676603555,Not Contaminated,1,0.5506588174896999,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantIn a closely contested match between Kilmarnock and Hamilton Academical, both",Kilmarnock and Hamilton Academical drew a blank in the Scottish Premiership.,"{'Min_10.0% Prob': 8.7109375, 'Min_20.0% Prob': 7.294270833333333, 'Min_30.0% Prob': 6.708984375, 'Min_40.0% Prob': 5.775390625, 'Min_50.0% Prob': 5.148193359375}",0.7088646292686462,"{'rouge1': Score(precision=0.45454545454545453, recall=0.45454545454545453, fmeasure=0.45454545454545453), 'rouge2': Score(precision=0.3, recall=0.3, fmeasure=0.3), 'rougeL': Score(precision=0.36363636363636365, recall=0.36363636363636365, fmeasure=0.36363636363636365)}",66,0,0.3681117598724285,Not Contaminated,0,0.37838149025940776,Not Contaminated,0,0.47432155300693296,Not Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,"assistantA Care Inspectorate report highlighted several issues at Kingsmead in Kingswells,","The quality of care at an Aberdeen nursing home has been deemed ""unsatisfactory"".","{'Min_10.0% Prob': 11.921875, 'Min_20.0% Prob': 8.33984375, 'Min_30.0% Prob': 7.3828125, 'Min_40.0% Prob': 6.2822265625, 'Min_50.0% Prob': 5.50244140625}",0.3752792477607727,"{'rouge1': Score(precision=0.15384615384615385, recall=0.18181818181818182, fmeasure=0.16666666666666669), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.15384615384615385, recall=0.18181818181818182, fmeasure=0.16666666666666669)}",74,0,0.3602503240305137,Not Contaminated,1,0.6746625005468033,Likely Contaminated,1,0.6803260466288826,Likely Contaminated
microsoft/phi-4,Summarize the following text: ,XSum,assistantA violent terrorist attack in Kunming resulted in 130 injuries and the deaths of four,"An attack by knife-wielding men at a railway station in Kunming in south-west China has left at least 29 dead, the state news agency Xinhua says.","{'Min_10.0% Prob': 8.158854166666666, 'Min_20.0% Prob': 5.864583333333333, 'Min_30.0% Prob': 4.45791015625, 'Min_40.0% Prob': 3.8519381009615383, 'Min_50.0% Prob': 3.2394301470588234}",0.4242525696754455,"{'rouge1': Score(precision=0.17857142857142858, recall=0.3333333333333333, fmeasure=0.23255813953488372), 'rouge2': Score(precision=0.037037037037037035, recall=0.07142857142857142, fmeasure=0.04878048780487805), 'rougeL': Score(precision=0.17857142857142858, recall=0.3333333333333333, fmeasure=0.23255813953488372)}",97,1,0.66087846906041,Likely Contaminated,0,0.4627299086414288,Not Contaminated,0,0.49488914849770105,Not Contaminated
